carreer_name,courses_name,courses_ref,number_courses
Carrera de Desarrollo de Aplicaciones Android,Curso profesional de Git y GitHub -- Curso de Firebase para Web -- Curso Profesional de Firebase para Android -- Curso de Bases Técnicas de Android -- Curso Definitivo de Android -- Curso de Kotlin,https://platzi.com/cursos/git-github/ -- https://platzi.com/cursos/firebase-web/ -- https://platzi.com/cursos/firebase/ -- https://platzi.com/cursos/tecnico-android/ -- https://platzi.com/cursos/android/ -- https://platzi.com/cursos/kotlin/,6
Carrera de Apple Fullstack Developer,Curso profesional de Git y GitHub -- Curso de Swift -- Curso de Desarrollo de Aplicaciones para iOS,https://platzi.com/cursos/git-github/ -- https://platzi.com/cursos/swift/ -- https://platzi.com/cursos/apps-ios/,3
Carrera de Arquitectura Frontend,Curso profesional de Git y GitHub -- Curso de CSS Grid Layout -- Curso de Animaciones para la Web -- Curso de Sass -- Curso de Stylus -- Curso de Less -- Curso de Bootstrap -- Curso de Foundation -- Curso de PostCSS -- Curso de Desarrollo Web Online -- Curso de Bots con Facebook Messenger -- Curso de Responsive Design -- Curso de AMP,https://platzi.com/cursos/git-github/ -- https://platzi.com/cursos/css-grid-layout/ -- https://platzi.com/cursos/animaciones-web/ -- https://platzi.com/cursos/sass/ -- https://platzi.com/cursos/stylus/ -- https://platzi.com/cursos/less/ -- https://platzi.com/cursos/bootstrap/ -- https://platzi.com/cursos/foundation/ -- https://platzi.com/cursos/postcss/ -- https://platzi.com/cursos/html5-css3/ -- https://platzi.com/cursos/bots-fb/ -- https://platzi.com/cursos/responsive-design/ -- https://platzi.com/cursos/amp-google/,13
Carrera de Fundamentos de Programación,Curso profesional de Git y GitHub -- Curso Gratis de Programación Básica -- Fundamentos de Ingeniería de Software -- Introducción a Terminal y Línea de Comandos -- Fundamentos de Bases de Datos -- Curso de Algoritmos con C -- Fundamentos de Arquitectura de Software -- Curso Profesional de Arquitectura de Software -- Curso de Programación para Padres y Niños -- Curso de Expresiones Regulares -- Escuela de Maestros Platzi -- Curso de CodeStream -- Curso de Redes de Internet,https://platzi.com/cursos/git-github/ -- https://platzi.com/cursos/programacion-basica/ -- https://platzi.com/cursos/ingenieria/ -- https://platzi.com/cursos/terminal/ -- https://platzi.com/cursos/bd/ -- https://platzi.com/cursos/algoritmos/ -- https://platzi.com/cursos/arquitectura-software/ -- https://platzi.com/cursos/pro-arquitectura/ -- https://platzi.com/cursos/programacion-ninos/ -- https://platzi.com/cursos/expresiones-regulares/ -- https://platzi.com/cursos/maestros/ -- https://platzi.com/cursos/comunicacion-codestream/ -- https://platzi.com/cursos/redes/,13
Carrera de Desarrollo de Aplicaciones con ASP .NET,Curso profesional de Git y GitHub -- Fundamentos de Bases de Datos -- Curso Básico de C# -- Curso Profesional de C# y ASP.Net -- Curso de Azure IaaS,https://platzi.com/cursos/git-github/ -- https://platzi.com/cursos/bd/ -- https://platzi.com/cursos/c-sharp/ -- https://platzi.com/cursos/net/ -- https://platzi.com/cursos/azure/,5
Carrera de Desarrollo Backend con PHP,Curso profesional de Git y GitHub -- Fundamentos de Bases de Datos -- Curso de Administración de Servidores Linux -- Curso de Introducción a PHP -- Curso de PHP con Laravel,https://platzi.com/cursos/git-github/ -- https://platzi.com/cursos/bd/ -- https://platzi.com/cursos/linux/ -- https://platzi.com/cursos/php/ -- https://platzi.com/cursos/curso-php-laravel/,5
Carrera de Desarrollo con Java,Curso profesional de Git y GitHub -- Fundamentos de Bases de Datos -- Curso Avanzado de Node.js -- Curso de Angular 4 -- Curso básico de Vue.js -- Curso Profesional de VueJS -- Curso de MEAN -- Curso de Webpack -- Curso de GraphQL -- Curso de JavaScript Full Stack con Sails.js -- Curso de Realidad Virtual para Web -- Curso de jQuery a JavaScript -- Fundamentos de JavaScript -- Curso de JavaScript Testing con Jest -- Curso Básico de Java SE -- Curso Avanzado de Java SE -- Curso Profesional de Java EE,https://platzi.com/cursos/git-github/ -- https://platzi.com/cursos/bd/ -- https://platzi.com/cursos/nodejs/ -- https://platzi.com/cursos/angular/ -- https://platzi.com/cursos/vuejs/ -- https://platzi.com/cursos/vuejs-profesional/ -- https://platzi.com/cursos/mean/ -- https://platzi.com/cursos/webpack/ -- https://platzi.com/cursos/graphql/ -- https://platzi.com/cursos/javascript-pro/ -- https://platzi.com/cursos/web-vr/ -- https://platzi.com/cursos/jquery-js/ -- https://platzi.com/cursos/fundamentos-javascript/ -- https://platzi.com/cursos/js-jest/ -- https://platzi.com/cursos/java-basico/ -- https://platzi.com/cursos/java-avanzado/ -- https://platzi.com/cursos/jee/,17
Carrera de Desarrollo Backend con GO,Curso profesional de Git y GitHub -- Fundamentos de Bases de Datos -- Curso de PostgreSQL -- Curso de Administración de Servidores Linux -- Curso de Programación en Go,https://platzi.com/cursos/git-github/ -- https://platzi.com/cursos/bd/ -- https://platzi.com/cursos/postgresql/ -- https://platzi.com/cursos/linux/ -- https://platzi.com/cursos/go-basico/,5
Carrera de Desarrollo Backend con Ruby,Curso profesional de Git y GitHub -- Fundamentos de Bases de Datos -- Curso de PostgreSQL -- Curso de Ruby -- Curso de Ruby on Rails,https://platzi.com/cursos/git-github/ -- https://platzi.com/cursos/bd/ -- https://platzi.com/cursos/postgresql/ -- https://platzi.com/cursos/ruby/ -- https://platzi.com/cursos/ruby-on-rails/,5
Carrera de Desarrollo con WordPress,Curso profesional de Git y GitHub -- Fundamentos de Bases de Datos -- Curso de Temas y Plugins en WordPress,https://platzi.com/cursos/git-github/ -- https://platzi.com/cursos/bd/ -- https://platzi.com/cursos/wordpress/,3
