specialization_name,number_courses,courses_names,courses_refs,avg_rating
Advanced Data Science with IBM,4,Fundamentals of Scalable Data Science -- Advanced Machine Learning and Signal Processing -- Applied AI with DeepLearning -- Advanced Data Science Capstone,https://www.coursera.org/learn/ds -- https://www.coursera.org/learn/advanced-machine-learning-signal-processing -- https://www.coursera.org/learn/ai -- https://www.coursera.org/learn/advanced-data-science-capstone,4.7
Agile Development,5,Agile Meets Design Thinking -- Running Product Design Sprints -- Managing an Agile Team -- Testing with Agile -- Agile Development in Practice (Project-centered Course),https://www.coursera.org/learn/uva-darden-getting-started-agile -- https://www.coursera.org/learn/uva-darden-running-design-sprints -- https://www.coursera.org/learn/uva-darden-agile-team-management -- https://www.coursera.org/learn/uva-darden-agile-testing -- https://www.coursera.org/learn/uva-darden-agile-development-capstone,4.62
Android App Development,5,"Java for Android -- Android App Components - Intents, Activities, and Broadcast Receivers -- Android App Components - Services, Local IPC, and Content Providers -- Engineering Maintainable Android Apps -- Capstone MOOC for ""Android App Development""",https://www.coursera.org/learn/java-for-android -- https://www.coursera.org/learn/androidapps -- https://www.coursera.org/learn/androidapps-2 -- https://www.coursera.org/learn/engineeringandroidapps -- https://www.coursera.org/learn/aadcapstone,4.28
Applied Data Science,4,Python for Data Science -- Data Visualization with Python -- Data Analysis with Python -- Applied Data Science Capstone,https://www.coursera.org/learn/python-for-applied-data-science -- https://www.coursera.org/learn/python-for-data-visualization -- https://www.coursera.org/learn/data-analysis-with-python -- https://www.coursera.org/learn/applied-data-science-capstone,4.53
Applied Data Science with Python,5,"Introduction to Data Science in Python -- Applied Plotting, Charting & Data Representation in Python -- Applied Machine Learning in Python -- Applied Text Mining in Python -- Applied Social Network Analysis in Python",https://www.coursera.org/learn/python-data-analysis -- https://www.coursera.org/learn/python-plotting -- https://www.coursera.org/learn/python-machine-learning -- https://www.coursera.org/learn/python-text-mining -- https://www.coursera.org/learn/python-social-network-analysis,4.44
Architecting with Google Cloud Platform,6,Google Cloud Platform Fundamentals: Core Infrastructure -- Essential Cloud Infrastructure: Foundation -- Essential Cloud Infrastructure: Core Services -- Elastic Cloud Infrastructure: Scaling and Automation -- Elastic Cloud Infrastructure: Containers and Services -- Reliable Cloud Infrastructure: Design and Process,https://www.coursera.org/learn/gcp-fundamentals -- https://www.coursera.org/learn/gcp-infrastructure-foundation -- https://www.coursera.org/learn/gcp-infrastructure-core-services -- https://www.coursera.org/learn/gcp-infrastructure-scaling-automation -- https://www.coursera.org/learn/gcp-infrastructure-containers-services -- https://www.coursera.org/learn/cloud-infrastructure-design-process,4.62
Big Data,6,Introduction to Big Data -- Big Data Modeling and Management Systems -- Big Data Integration and Processing -- Machine Learning With Big Data -- Graph Analytics for Big Data -- Big Data - Capstone Project,https://www.coursera.org/learn/big-data-introduction -- https://www.coursera.org/learn/big-data-management -- https://www.coursera.org/learn/big-data-integration-processing -- https://www.coursera.org/learn/big-data-machine-learning -- https://www.coursera.org/learn/big-data-graph-analytics -- https://www.coursera.org/learn/big-data-project,4.38
Big Data for Data Engineers,5,"Big Data Essentials: HDFS, MapReduce and Spark RDD -- Big Data Analysis: Hive, Spark SQL, DataFrames and GraphFrames -- Big Data Applications: Machine Learning at Scale -- Big Data Applications: Real-Time Streaming -- Big Data Services: Capstone Project",https://www.coursera.org/learn/big-data-essentials -- https://www.coursera.org/learn/big-data-analysis -- https://www.coursera.org/learn/machine-learning-applications-big-data -- https://www.coursera.org/learn/real-time-streaming-big-data -- https://www.coursera.org/learn/big-data-services,4.03
C# Programming for Unity Game Development,5,Introduction to C# Programming and Unity -- More C# Programming and Unity -- Intermediate Object-Oriented Programming for Unity Games -- Data Structures and Design Patterns for Game Developers -- C# Programming for Unity Game Development Capstone Project,https://www.coursera.org/learn/introduction-programming-unity -- https://www.coursera.org/learn/more-programming-unity -- https://www.coursera.org/learn/intermediate-object-oriented-programming-unity-games -- https://www.coursera.org/learn/data-structures-design-patterns -- https://www.coursera.org/learn/programming-unity-game-development-project,4.84
Cloud Computing,6,"Cloud Computing Concepts, Part 1 -- Cloud Computing Concepts: Part 2 -- Cloud Computing Applications, Part 1: Cloud Systems and Infrastructure -- Cloud Computing Applications, Part 2: Big Data and Applications in the Cloud -- Cloud Networking -- Cloud Computing Project",https://www.coursera.org/learn/cloud-computing -- https://www.coursera.org/learn/cloud-computing-2 -- https://www.coursera.org/learn/cloud-applications-part1 -- https://www.coursera.org/learn/cloud-applications-part2 -- https://www.coursera.org/learn/cloud-networking -- https://www.coursera.org/learn/cloud-computing-project,4.37
